tale_id,tale_text,tale_path
1,Una historia de acción en la que un superhéroe rescata un gato que está cayendo de un rascacielos.,RepositorioDatosProyectoAP/AudiosTematica/audio_1.wav
2,De mí ganando una partida en fornai con 40 kills.,RepositorioDatosProyectoAP/AudiosTematica/audio_2.wav
3,"Un jugador de furgol que es muy bueno y se lo para todo y luego sale a jugar y lo marca todo, sí.",RepositorioDatosProyectoAP/AudiosTematica/audio_3.wav
4,Jack sparou y la perla negra me sacan del cole y jugamos fifa.,RepositorioDatosProyectoAP/AudiosTematica/audio_4.wav
5,Historia de como con ayuda de la targeta mágica de papá puedo invertir en comercio electrónico.,RepositorioDatosProyectoAP/AudiosTematica/audio_5.wav
6,Como vencí al golem del clash o clans con chica arquera.,RepositorioDatosProyectoAP/AudiosTematica/audio_6.wav
7,Como un grupo de superhéroes ponen un trampolín para que el coche de los malos salte por encima de un edificio y les ganen.,RepositorioDatosProyectoAP/AudiosTematica/audio_7.wav
8,Una historia sobre pegaso y el conejo de pascua.,RepositorioDatosProyectoAP/AudiosTematica/audio_8.wav
9,Dos amigos hacen skate y uno salta y se rompe la crisma y su colega lleva su cuerpo a su familia a través del abismo de los lamentos para que puedan rendirle tributo.,RepositorioDatosProyectoAP/AudiosTematica/audio_9.wav
10,El joven caballero Luisisimus vence al pero que muy malvado dragón Valelord y salva la ciudad de sus garras.,RepositorioDatosProyectoAP/AudiosTematica/audio_10.wav
